date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:49:26	168/168	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Nov%202015%2023:49:25%20GMT	https://logicdudes.com/robots.txt		(from )
18:49:28	30575/30575	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Nov%202015%2023:49:27%20GMT	https://logicdudes.com/	/srv/http/logicdudes.com/LogicDudes/logicdudes.com/index.html	(from )
18:49:28	1500/1500	---M--	200	added ('OK')	image/png	etag:%225380e9fc-5dc%22	https://logicdudes.com/wp-content/uploads/2014/03/favi1.png	/srv/http/logicdudes.com/LogicDudes/logicdudes.com/wp-content/uploads/2014/03/favi1.png	(from https://logicdudes.com/)
18:49:30	844/844	---MCZ	200	added ('OK')	text/xml	date:Thu,%2021%20Aug%202014%2021:01:56%20GMT	https://logicdudes.com/feed	/srv/http/logicdudes.com/LogicDudes/logicdudes.com/feed	(from https://logicdudes.com/)
18:49:31	704/704	---MCZ	200	added ('OK')	text/xml	date:GMT	https://logicdudes.com/comments/feed	/srv/http/logicdudes.com/LogicDudes/logicdudes.com/comments/feed	(from https://logicdudes.com/)
18:49:31	1103/1103	---MCZ	200	added ('OK')	text/css	date:Sun,%2026%20Apr%202015%2021:05:46%20GMT	https://logicdudes.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.1.2	/srv/http/logicdudes.com/LogicDudes/logicdudes.com/wp-content/plugins/contact-form-7/includes/css/styles8aee.css	(from https://logicdudes.com/)
18:49:31	7886/7886	---MCZ	200	added ('OK')	text/css	date:Sun,%2026%20Apr%202015%2021:02:13%20GMT	https://logicdudes.com/wp-content/themes/enfold/css/grid.css?ver=2	/srv/http/logicdudes.com/LogicDudes/logicdudes.com/wp-content/themes/enfold/css/grid77ae.css	(from https://logicdudes.com/)
18:49:32	13482/13482	---MCZ	200	added ('OK')	text/css	date:Sun,%2026%20Apr%202015%2021:02:13%20GMT	https://logicdudes.com/wp-content/themes/enfold/css/base.css?ver=2	/srv/http/logicdudes.com/LogicDudes/logicdudes.com/wp-content/themes/enfold/css/base77ae.css	(from https://logicdudes.com/)
18:49:32	92930/92930	---MCZ	200	added ('OK')	text/css	date:Sun,%2026%20Apr%202015%2021:02:13%20GMT	https://logicdudes.com/wp-content/themes/enfold/css/layout.css?ver=2	/srv/http/logicdudes.com/LogicDudes/logicdudes.com/wp-content/themes/enfold/css/layout77ae.css	(from https://logicdudes.com/)
18:49:32	158971/158971	---MCZ	200	added ('OK')	text/css	date:Sun,%2026%20Apr%202015%2021:02:13%20GMT	https://logicdudes.com/wp-content/themes/enfold/css/shortcodes.css?ver=2	/srv/http/logicdudes.com/LogicDudes/logicdudes.com/wp-content/themes/enfold/css/shortcodes77ae.css	(from https://logicdudes.com/)
18:49:32	7640/7640	---MCZ	200	added ('OK')	text/css	date:Sun,%2026%20Apr%202015%2021:02:12%20GMT	https://logicdudes.com/wp-content/themes/enfold/js/aviapopup/magnific-popup.css?ver=1	/srv/http/logicdudes.com/LogicDudes/logicdudes.com/wp-content/themes/enfold/js/aviapopup/magnific-popup68b3.css	(from https://logicdudes.com/)
18:49:33	18247/18247	---MCZ	200	added ('OK')	text/css	date:Sun,%2026%20Apr%202015%2021:02:12%20GMT	https://logicdudes.com/wp-content/themes/enfold/js/mediaelement/skin-1/mediaelementplayer.css?ver=1	/srv/http/logicdudes.com/LogicDudes/logicdudes.com/wp-content/themes/enfold/js/mediaelement/skin-1/mediaelementplayer68b3.css	(from https://logicdudes.com/)
18:49:33	4858/4858	---MCZ	200	added ('OK')	text/css	date:Sun,%2026%20Apr%202015%2021:02:13%20GMT	https://logicdudes.com/wp-content/themes/enfold/css/print.css?ver=1	/srv/http/logicdudes.com/LogicDudes/logicdudes.com/wp-content/themes/enfold/css/print68b3.css	(from https://logicdudes.com/)
18:49:33	137363/137363	---MCZ	200	added ('OK')	text/css	date:Sun,%2026%20Apr%202015%2021:03:00%20GMT	https://logicdudes.com/wp-content/uploads/dynamic_avia/enfold.css?ver=553d528466ac1	/srv/http/logicdudes.com/LogicDudes/logicdudes.com/wp-content/uploads/dynamic_avia/enfolddc7b.css	(from https://logicdudes.com/)
18:49:33	707/707	---M--	200	added ('OK')	text/css	etag:%22553d5255-2c3%22	https://logicdudes.com/wp-content/themes/enfold/css/custom.css?ver=2	/srv/http/logicdudes.com/LogicDudes/logicdudes.com/wp-content/themes/enfold/css/custom77ae.css	(from https://logicdudes.com/)
18:49:33	95952/95952	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2026%20Apr%202015%2020:58:28%20GMT	https://logicdudes.com/wp-includes/js/jquery/jquery.js?ver=1.11.2	/srv/http/logicdudes.com/LogicDudes/logicdudes.com/wp-includes/js/jquery/jquery4a80.js	(from https://logicdudes.com/)
18:49:34	7200/7200	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2023%20Jul%202013%2015:28:25%20GMT	https://logicdudes.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.2.1	/srv/http/logicdudes.com/LogicDudes/logicdudes.com/wp-includes/js/jquery/jquery-migrate.min1576.js	(from https://logicdudes.com/)
18:49:34	2106/2106	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2026%20Apr%202015%2021:02:12%20GMT	https://logicdudes.com/wp-content/themes/enfold/js/avia-compat.js?ver=2	/srv/http/logicdudes.com/LogicDudes/logicdudes.com/wp-content/themes/enfold/js/avia-compat77ae.js	(from https://logicdudes.com/)
18:49:35	6662/6662	---MCZ	200	added ('OK')	text/css	date:Tue,%2003%20Nov%202015%2023:49:35%20GMT	https://logicdudes.com/?sccss=1&ver=4.2.5	/srv/http/logicdudes.com/LogicDudes/logicdudes.com/index7fe5.html	(from https://logicdudes.com/)
18:49:36	728/728	---MCZ	200	added ('OK')	text/xml	date:Tue,%2003%20Nov%202015%2023:49:35%20GMT	https://logicdudes.com/xmlrpc.php?rsd	/srv/http/logicdudes.com/LogicDudes/logicdudes.com/xmlrpc0db0.php	(from https://logicdudes.com/)
18:49:36	1045/1045	---MCZ	200	added ('OK')	text/xml	date:Wed,%2011%20Dec%202013%2019:49:11%20GMT	https://logicdudes.com/wp-includes/wlwmanifest.xml	/srv/http/logicdudes.com/LogicDudes/logicdudes.com/wp-includes/wlwmanifest.xml	(from https://logicdudes.com/)
18:49:38	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2003%20Nov%202015%2023:49:37%20GMT	https://logicdudes.com/xmlrpc.php	/srv/http/logicdudes.com/LogicDudes/logicdudes.com/xmlrpc.php	(from https://logicdudes.com/)
